FCLTY_NM,CTPRVN_NM,FCLTY_TY_NM,PROGRM_NM,FCLTY_ADDR,latitude,longitude,PROGRM_TY_NM
강남스포츠문화센터골프연습장,서울특별시,골프연습장,오후골프07,강남구 수서동718,37.4889732,127.105346,No Data
강남스포츠문화센터수영장,서울특별시,수영장,아쿠아로빅E,서울특별시 강남구 밤고개로1길 52 (수서동),37.4890024,127.1052805,No Data
강북웰빙스포츠센터,서울특별시,생활체육관,풋살(초등1~3)A 16시 [화목],서울특별시 강북구 오현로31길 51 (번동),37.6304351,127.0378089,No Data
개운산스포츠센터,서울특별시,생활체육관,[NEW토수영]초등학생(10시),서울특별시 성북구 북악산로 949-60 (종암동),37.5968739,127.0261159,"수영, 복합문화취미교실, 스포츠문화교실, 헬스"
개웅산생활체육관,서울특별시,생활체육관,21소도구필라테스B,서울특별시 구로구 개봉로3길 108-20 (개봉동),37.4853424,126.8497562,No Data
거제국민체육센터,경상남도,구기체육관,헬스,경상남도 거제시 거제면 거제남서로 3485-17,34.8518556,128.5815338,헬스
경주국민체육센터,경상북도,생활체육관,초등학생반 16시 중급,경상북도 경주시 유림로5번길 85-15 (황성동),35.8790444,129.2170901,No Data
계남근린공원테니스장,서울특별시,간이운동장,평일A(월목 배상윤)09:30,"서울특별시 양천구 신정로 260 (신정동, 신트리4단지아파트)",37.5111069,126.8506317,계남테니스장
고양국민체육센터,경기도,생활체육관,헬스 월화수목금토일06:00~22:00,경기도 고양시 덕양구 호국로 876 (성사동),37.6622044,126.8438746,No Data
고양어울림누리내 꽃우물수영장,경기도,수영장,아쿠아로빅(토)-주말아쿠아로빅A반 토10:00~10:50,경기도 고양시 덕양구 어울림로 33 (성사동),37.6495942,126.8345322,"수영, 자유수영, 아쿠아로빅"
고양체육관,경기도,생활체육관,"골프(화목)-새벽4반(초,중,상급) 화목07:30~08:50",경기도 고양시 일산서구 중앙로 1601 (대화동),37.6764626,126.7430695,"G.X룸, 골프, 아쿠아로빅, 수영, 스쿼시, 라켓볼, 서킷트레이닝, 요가, 필라테스, 다이빙, 월자유수영, 헬스, 스피닝"
고천다목적실내체육관,경기도,구기체육관,고천 09시 월수금 배구,경기도 의왕시 오전로 18 (왕곡동),37.3479032,126.9823557,No Data
과천시민회관다목적체육관,경기도,생활체육관,PT10회+종일반(토:06~18시),경기도 과천시 통영로 5 (중앙동),37.4282679,126.9892375,"헬스, 요가및필라테스, 기타체육프로그램, 댄스프로그램(발레,줌바 등), 볼링, 무도프로그램, 실내골프"
관문실내체육관,경기도,구기체육관,관문헬스(장애인스포츠강좌이용권),경기도 과천시 중앙로 294 (관문동),37.4414931,126.9969731,No Data
관악구민종합체육센터,서울특별시,생활체육관,피아노B(13),서울특별시 관악구 낙성대로3길 37 (봉천동),37.4730839,126.9603185,"교육문화프로그램, 헬스, 에어로빅, 복합프로그램, 스쿼시, 배드민턴, 검도, 다이어트댄스, 어린이농구교실, 탁구"
관악청소년센터수영장,서울특별시,수영장,초등수영 토요일 상급 17시,서울특별시 관악구 신림로23길 17 (신림동),37.4701725,126.9351783,수영프로그램
광교웰빙국민체육센터,경기도,생활체육관,스포츠,경기도 수원시 영통구 웰빙타운로 71 (이의동),37.3050326,127.0430984,"스포츠 > SNPE바른자세척추운동, 다목적체육관 > 방학특강, 스포츠 > 훌라댄스, 스포츠 >필라테스, 스포츠 > 트로트댄스, 스포츠 > 타바타, 스포츠 > 줌바, 스포츠 > 요가&필라테스, 스포츠 > 요가, 스포츠 > 에어로빅, 스포츠 > 방송댄스, 스포츠 > 라인댄스, 수영 > 종합반, 수영 > 저녁, 수영 > 자유수영, 수영 > 오전, 수영 > 어린이, 수영 > 아쿠아워킹, 수영 > 아쿠아로빅, 수영 > 소그룹, 수영 > 새벽, 수영 > 방학특강, 다목적체육관 > 성장운동, 다목적체육관 > 배드민턴"
광장동 실내배드민턴장,서울특별시,구기체육관,주3회강습반(월수금)2부,서울특별시 광진구 천호대로140길 40 (광장동),37.5444253,127.1001957,수영
광주시문화스포츠센터,경기도,생활체육관,11시/B(기간)_뮤직복싱2,경기도 광주시 회안대로 891 (송정동),37.4268685,127.2547061,"[문화스포츠센터] 체육관, [문화스포츠센터] 수영, [문화스포츠센터] 수영 방학특강"
광진구민체육센터,서울특별시,골프연습장,영재 종이접기(자격증대비반),서울특별시 광진구 구천면로 14 (광장동),37.5460078,127.106854,No Data
광진문화예술회관,서울특별시,골프연습장,토요 골프 15,서울특별시 광진구 능동로 76 (자양동),37.5374246,127.070453,No Data
구로구민체육센터,서울특별시,생활체육관,17기구필라테스A,서울특별시 구로구 고척로45길 39 (고척동),37.506597,126.8532878,통합
구리국민체육센터,경기도,구기체육관,06시양지클럽_월정기배드민턴,인창동 622-28번지 일원,37.6050932,127.1297959,배드민턴프로그램
구리시멀티스포츠센터,경기도,구기체육관,06B(월수금)스쿼시강습(중급),경기도 구리시 체육관로 137-25 (교문동),37.5961644,127.1351567,"스쿼시프로그램, 다용도장프로그램, 볼링장프로그램"
구리실내배드민턴장,경기도,구기체육관,20시하나로클럽_월정기배드민턴,교문동 3-2번지 일원,37.5956691,127.1364754,배드민턴프로그램
구리청소년수련관수영장,경기도,수영장,아쿠아로빅E[월수금18시],인창동 673-4번지,37.6037998,127.1418304,No Data
국민생활관,강원특별자치도,생활체육관,주말수영,강원특별자치도 춘천시 효자상길5번길 11 (효자동),37.8731654,127.7284523,수영
국민체육센터,부산광역시,생활체육관,(15)-댄스스포츠(중급)_월수금,부산광역시 동래구 미남로 110 (온천동),35.2036114,129.0698392,"다목적실[I] 프로그램, 다목적실[II] 프로그램, 다목적실［III］, 헬스 프로그램"
국민체육센터 다목적체육관,경기도,생활체육관,"웰빙요가_18시(화,목)",경기도 시흥시 하중로 226 (하중동),37.3915031,126.8053207,No Data
국민체육센터 수영장,강원특별자치도,수영장,어린이수영,강원특별자치도 춘천시 우석로 102-3 (석사동),37.8626344,127.7566898,수영
군포시청소년수련관수영장,경기도,수영장,화목20교정상(중-고-성인),경기도 군포시 산본로 322 (금정동),37.3598091,126.9347135,No Data
